adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/6nh02WC31a5Sg3HqK21JY1nHqFo.jpg,18,506680,en,Unbroken: Path to Redemption,"Zamperini returns to California where he wound up marrying Cynthia Applewhite while wrestling with untreated PTSD, suffering constant nightmares, angry, bitter and deeply depressed, his wife convinces Zamperini to attend the 1949 Billy Graham Crusade.",79.527,/x0anYeapUCJFjYmTaDHP00CaYEB.jpg,2018-09-14,Unbroken: Path to Redemption,False,6.9,109
False,/eVidMQ5eXDhRizo9ig1X4iWCDqe.jpg,"28, 18, 53",117251,en,White House Down,"Capitol Policeman John Cale has just been denied his dream job with the Secret Service of protecting President James Sawyer. Not wanting to let down his little girl with the news, he takes her on a tour of the White House, when the complex is overtaken by a heavily armed paramilitary group. Now, with the nation's government falling into chaos and time running out, it's up to Cale to save the president, his daughter, and the country.",73.266,/hXLScIERphkTsMGdfKKvF4p4SPB.jpg,2013-06-27,White House Down,False,6.4,4153
False,/l57Hoy9prfwpewKm7PEYxOiJeMr.jpg,35,848331,en,Honk for Jesus. Save Your Soul.,"In the aftermath of a huge scandal, Trinitie Childs, the first lady of a prominent Southern Baptist Mega Church, attempts to help her pastor-husband, Lee-Curtis Childs, rebuild their congregation.",67.193,/gC5HfzG2xUbqSPaXPdqTiE94c79.jpg,2022-09-02,Honk for Jesus. Save Your Soul.,False,6.0,13
False,/bXECndnt2fetBsopdQvsI3Cv970.jpg,"27, 80",41439,en,Saw 3D,"As a deadly battle rages over Jigsaw's brutal legacy, a group of Jigsaw survivors gathers to seek the support of self-help guru and fellow survivor Bobby Dagen, a man whose own dark secrets unleash a new wave of terror.",71.713,/qHCZ6LjtmqWDfXXN28TlIC9OppK.jpg,2010-10-21,Saw 3D,False,6.0,2446
False,/tonrulTmO9ZyZmsAsr5yr9ciE4c.jpg,"16, 10751",15016,en,Barbie of Swan Lake,"Barbie as Odette, the young daughter of a baker, follows a unicorn into the Enchanted Forest and is transformed into a swan by an evil wizard intent on defeating the Fairy Queen.",59.398,/sLpCLVQWTU7BI4yAL6kIFM9J3eX.jpg,2003-09-27,Barbie of Swan Lake,False,7.0,949
False,/jiY7dnAtkvM1UykifM0RJAhZLY6.jpg,"16, 35, 10751",65759,en,Happy Feet Two,"Mumble the penguin has a problem: his son Erik, who is reluctant to dance, encounters The Mighty Sven, a penguin who can fly! Things get worse for Mumble when the world is shaken by powerful forces, causing him to brings together the penguin nations and their allies to set things right.",58.743,/2gWiQ4mn85jcXtREVePlVViupeV.jpg,2011-11-18,Happy Feet Two,False,6.1,1332
False,/5AhpUb8CAP0jZ4Wrn7AsRUYjZxB.jpg,"28, 35, 878",41154,en,Men in Black 3,"Agents J and K are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K to save his partner, the agency, and the future of humankind.",77.892,/90DdoEStzeObs96fsYf4GG544iN.jpg,2012-05-23,Men in Black 3,False,6.5,9119
False,/yir5430WblZSZuIMd9C6pIZerfA.jpg,"28, 80",339403,en,Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",61.894,/rmnQ9jKW72bHu8uKlMjPIb2VLMI.jpg,2017-06-28,Baby Driver,False,7.5,13700
False,/t7aJ7hqsMLEoqBJk7yAXxcAVvcz.jpg,"16, 35, 10751",7443,en,Chicken Run,"Having been hopelessly repressed and facing eventual certain death at the British chicken farm where they are held, Ginger the chicken along with the help of Rocky the American rooster decide to rebel and lead their fellow chickens in a great escape from the murderous farmers Mr. and Mrs. Tweedy and their farm of doom.",55.48,/8XgmIsbpVamdhwcNVsYzohFZTtT.jpg,2000-06-21,Chicken Run,False,6.7,4165
False,/8U9yGCSAhzSDnVUmIQpFMOIBc6q.jpg,"28, 80, 53",278924,en,Mechanic: Resurrection,"Arthur Bishop thought he had put his murderous past behind him when his most formidable foe kidnaps the love of his life. Now he is forced to travel the globe to complete three impossible assassinations, and do what he does best, make them look like accidents.",70.728,/3FUJT82YKY1EJ1dmunQhW5PUZAT.jpg,2016-08-25,Mechanic: Resurrection,False,5.9,2844
False,/zogWnCSztU8xvabaepQnAwsOtOt.jpg,"28, 80, 18",531499,en,The Tax Collector,David Cuevas is a family man who works as a gangland tax collector for high ranking Los Angeles gang members. He makes collections across the city with his partner Creeper making sure people pay up or will see retaliation. An old threat returns to Los Angeles that puts everything David loves in harm’s way.,76.987,/3eg0kGC2Xh0vhydJHO37Sp4cmMt.jpg,2020-08-07,The Tax Collector,False,5.7,383
False,/2UFxrUHVuSK3Tth7DvQQlF4mGTd.jpg,"28, 878, 12",118340,en,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",68.464,/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,2014-07-30,Guardians of the Galaxy,False,7.9,25101
False,/qCKO6xQMLgB1goL1v20tMOfMLBU.jpg,"35, 10751",13680,en,The Game Plan,"Bachelor football star Joe Kingman seems to have it all. He is wealthy and carefree, and his team is on the way to capturing a championship. Suddenly, he is tackled by some unexpected news: He has a young daughter, the result of a last fling with his ex-wife. Joe must learn to balance his personal and professional lives with the needs of his child.",63.203,/fcLFvIqCUrhY96mkSmr3okxaMEw.jpg,2007-09-28,The Game Plan,False,6.4,1697
False,/tJMvfYI2m6npeKRU9rAlLNTLlIj.jpg,"10749, 35, 80, 18",256591,en,Focus,"Nicky, an accomplished con artist, gets romantically involved with his disciple Jess but later ends their relationship. Years later, she returns as a femme fatale to spoil his plans.",60.4,/lOzGWjceYTd0kd5HyX7Ch46O9kh.jpg,2015-02-25,Focus,False,6.9,6908
